


Sentence : What are they after?
The malware scans the computer for files that contain certain keywords. The list of keywords, in base64
format, is retrieved from the command and control server as a text file. For example:
These words indicate what information the attackers are after - information pertaining to homeland security
and military issues; personal documents; credentials, certificates and private keys.
Below are keywords that have been used in the recent campaigns:
|Baste64|Decoded|English translation|
|---|---|---|
|ZW1haWxz|Emails||
|YWNjb3VudHM=|Accounts||
|Yml0Y29pbg==|Bitcoin||
|Y3YuZG9j|cv.doc||
|Y3YucGRm|cv.pdf||
|TG9naW4gRGF0YQ==|Login Data||
|S2V5V29yZA==|KeyWord||
|LndhbGxldA==|.wallet||
|LnBmeA==|.pfx||
|Lm92cG4=|.ovpn||
|dXNlcnMgbmFtZSBhbmQgcGFzc3dvcmQ=|users name and password||
|dG9yLmRvYw==|tor.doc||
|cGFzc3dvcmRz|passwords||
|cGF5cGFs|paypal||
|bG9naW5zLg==|logins.||
|bG9naW5z|logins||
|aWQucGRm|id.pdf||
|aWQuanBn|id.jpg||

(C) All Rights reserved to C.S. Consultings Ltd, 2016. "ClearSky" www.clearskysec.com
Page 11 of 26
|2YXYrtin2KjYsdin2Kog|تارباخم|Intelligence|
|---|---|---|
|2YXYrdi22LEg2KfYrNiq2YXYp9i5|محضر اجتماع|meeting protocol|
|2YPZhNmF2KfYqiDZhdix2YjYsQ==|كلمات مرور|passwords|
|2YPZhNmF2KfYqiDYs9ix|كلمات سر|passwords|
|2YPZhNmF2KfYqiDYp9mE2YXYsdmI2LE=|كلمات المرور|the passwords|
|2YPZhNmF2KfYqiDYp9mE2LPYsQ==|كلمات السر|the passwords|
|2YPZhNmF2KfYqiDYp9mE2LPYsQ==|كلمات السر|the passwords|
|2YLYp9i52K/YqSDYqNmK2KfZhtin2Ko=|قاعدة بيانات|Database|
|2YjYq9mK2YLYqQ==|وثيقة|document|
|2LPZitix2Kkg2LDYp9iq2YrYqQ==|سيرة ذاتية|CV|
|2LPZitiq2Kcg|سيتا|SITA (www.sita.aero)|
|2LnYs9mD2LHZiiA=|عسكري|military|
|2KPZhdmG2Yog|أمني|defense or security related|
|2KfZhNil2YrZhdmK2YTYp9iq|اليميلت|the emails|
|2KfYs9iq2K7YqNin2LHYp9iq|استخبارات|intelligence|
|16rXldeb16DXmdeV16og16bXkdeQ15nXldeq|תוכניות צבאיות|military plans|
|16rXldeb16DXmdeV16o=|תוכניות|plans|
|16nXkScn15s=|שב"כ|Shabak (Israel Security Agency)|
|16jXkNepINeU157Xntep15zXlA==|ראש הממשלה|prime minister|
|16HXmdeh157XkNeV16o=|סיסמאות|passwords|
|16HXmdeh157XkA==|סיסמא|password|
|16HXldeTLg==|סוד|secret|
|16DXntec15nXnSDXp9eo15HXmded|נמלים קרבים|combat sea ports|
|16bXkdeQ15nXldeq|צבאיות|military related|
|16bXkdeQ15k=|צבאי|military related|
|15TXldeT16LXldeq|הודעות|messages|
|15nXl9eZ15PXlCAg157XmdeV15fXk9eq|יחידה מיוחדת|special forces unit|
|15jXmdeh15nXnQ==|טיסים|pilots|
|15HXmdeY15fXldeg15nXnQ==|ביטחונים|Defense and security related|
|15DXkdeY15fXlA==|אבטחה|security|
|157XqdeqJyfXpA==|משת"פ|collaborator (a person who cooperateswith the enemy)|
|157Xqdeo15Mg15TXpNeg15nXnQ==|משרד הפנים|ministry of internal affairs|
|157XoNeU16jXldeq|מנהרות|tunnels|
|157XoNeU16jXlA==|מנהרה|tunnel|
|157Xlicn15zXmA==|מזל"ט|drone|
|157XldeT16LXmdef|מודעין|intelligence|
|157XldeT15nXoteZ158=|מודיעין|intelligence|
|157Xldeh15Mg|מוסד|Mossad|

(C) All Rights reserved to C.S. Consultings Ltd, 2016. "ClearSky" www.clearskysec.com
Page 12 of 26
Output : 
{
    "nodes": [
        {"id": 1, "description": "The malware", "type": "EXEF"},
        {"id": 2, "description": "certain keywords", "type": "TAMP"},
        {"id": 3, "description": "command and control server", "type": "CCSH"},
        {"id": 4, "description": "text file with base64 encoded list of keywords", "type": "DOCF"},
        {"id": 5, "description": "homeland security and military issues; personal documents; credentials, certificates and private keys", "type": "TAMP"},
        {"id": 6, "description": "cv.doc", "type": "DOCF"},
        {"id": 7, "description": "cv.pdf", "type": "DOCF"},
        {"id": 8, "description": "Login Data", "type": "TAMP"},
        {"id": 9, "description": ".wallet", "type": "DOCF"},
        {"id": 10, "description": ".pfx", "type": "DOCF"},
        {"id": 11, "description": ".ovpn", "type": "DOCF"},
        {"id": 12, "description": "users name and password", "type": "TAMP"},
        {"id": 13, "description": "tor.doc", "type": "DOCF"},
        {"id": 14, "description": "passwords", "type": "TAMP"},
        {"id": 15, "description": "paypal", "type": "APPS"},
        {"id": 16, "description": "logins.", "type": "TAMP"},
        {"id": 17, "description": "logins", "type": "TAMP"},
        {"id": 18, "description": "id.pdf", "type": "DOCF"},
        {"id": 19, "description": "id.jpg", "type": "DOCF"},
        {"id": 20, "description": "Intelligence (Arabic)", "type": "TAMP"},
        {"id": 21, "description": "meeting protocol (Arabic)", "type": "TAMP"},
        {"id": 22, "description": "passwords (Arabic)", "type": "TAMP"},
        {"id": 23, "description": "Database (Arabic)", "type": "STOR"},
        {"id": 24, "description": "document (Arabic)", "type": "DOCF"},
        {"id": 25, "description": "CV (Arabic)", "type": "DOCF"},
        {"id": 26, "description": "SITA (www.sita.aero) (Arabic)", "type": "APPS"},
        {"id": 27, "description": "military (Arabic)", "type": "TAMP"},
        {"id": 28, "description": "defense or security related (Arabic)", "type": "TAMP"},
        {"id": 29, "description": "the emails (Arabic)", "type": "MAIL"},
        {"id": 30, "description": "intelligence (Arabic)", "type": "TAMP"},
        {"id": 31, "description": "military plans (Hebrew)", "type": "TAMP"},
        {"id": 32, "description": "plans (Hebrew)", "type": "TAMP"},
        {"id": 33, "description": "Shabak (Israel Security Agency) (Hebrew)", "type": "APPS"},
        {"id": 34, "description": "prime minister (Hebrew)", "type": "COUN"},
        {"id": 35, "description": "passwords (Hebrew)", "type": "TAMP"},
        {"id": 36, "description": "secret (Hebrew)", "type": "TAMP"},
        {"id": 37, "description": "combat sea ports (Hebrew)", "type": "TAMP"},
        {"id": 38, "description": "military related (Hebrew)", "type": "TAMP"},
        {"id": 39, "description": "messages (Hebrew)", "type": "MAIL"},
        {"id": 40, "description": "special forces unit (Hebrew)", "type": "COUN"},
        {"id": 41, "description": "pilots (Hebrew)", "type": "TAMP"},
        {"id": 42, "description": "Defense and security related (Hebrew)", "type": "TAMP"},
        {"id": 43, "description": "security (Hebrew)", "type": "TAMP"},
        {"id": 44, "description": "collaborator (a person who cooperates with the enemy) (Hebrew)", "type": "ACTO"},
        {"id": 45, "description": "ministry of internal affairs (Hebrew)", "type": "COUN"},
        {"id": 46, "description": "tunnels (Hebrew)", "type": "TAMP"},
        {"id": 47, "description": "drone (Hebrew)", "type": "MTCP"},
        {"id": 48, "description": "intelligence (Hebrew)", "type": "TAMP"},
        {"id": 49, "description": "Mossad (Hebrew)", "type": "APPS"}
    ],
    "edges": [
        {"source": 1, "target": 2, "rel_name": "scans_for"},
        {"source": 3, "target": 4, "rel_name": "hosts"},
        {"source": 1, "target": 4, "rel_name": "retrieves_from"},
        {"source": 2, "target": 5, "rel_name": "indicates_interest_in"},
        {"source": 4, "target": 6, "rel_name": "contains"},
        {"source": 4, "target": 7, "rel_name": "contains"},
        {"source": 4, "target": 8, "rel_name": "contains"},
        {"source": 4, "target": 9, "rel_name": "contains"},
        {"source": 4, "target": 10, "rel_name": "contains"},
        {"source": 4, "target": 11, "rel_name": "contains"},
        {"source": 4, "target": 12, "rel_name": "contains"},
        {"source": 4, "target": 13, "rel_name": "contains"},
